Marca;Modelo;Comb;Faixa;Ano;Valor;Nome;;;
NISSAN ;GT R PREMIUM;G;>100;2018; 780.124 ;GT;;;
VOLVO ;MPOLO PARADISO LD;D;>100;2021; 719.835 ;MPOLO;;;
VOLVO ;MPOLO PARADISO DD;D;>100;2021; 669.877 ;MPOLO;;;
BMW ;X5 M50D;D;>100;2021; 651.495 ;X5;;;
BMW ;520I;G;>100;2019; 619.131 ;520I;;;
BMW ;X6 M;G;>100;2019; 605.781 ;X6;;;
AUDI ;Q8 3.0 TFSI;G;>100;2021; 592.081 ;Q8;;;
BMW ;X6 XDRIVE40I;G;>100;2021; 581.330 ;X6;;;
BMW ;745LE;G;>100;2021; 575.297 ;745LE;;;
AUDI ;R8 5.2 V10 SPYDER;G;>100;2015; 570.643 ;R8;;;
VOLVO ;FH 540 6X4T SUSP;D;>100;2021; 565.572 ;FH;;;
VOLVO ;FH 540 6X4T;D;>100;2021; 562.948 ;FH;;;
VOLVO ;FH 540 6X4T;G;>100;2021; 562.948 ;FH;;;
VOLVO ;FH 460 6X4T;D;>100;2021; 561.171 ;FH;;;
VOLVO ;FH 500 8X2T;D;>100;2021; 559.268 ;FH;;;
VOLVO ;FH 500 6X4T;D;>100;2021; 557.135 ;FH;;;
VOLVO ;MPOLO PARADISO LD;D;>100;2020; 553.719 ;MPOLO;;;
VOLVO ;MPOLO PARADISO LD;D;>100;2019; 547.571 ;MPOLO;;;
BMW ;X5 XDRIVE30D;D;>100;2021; 531.354 ;X5;;;
VOLVO ;FH 500 6X2T;D;>100;2021; 526.997 ;FH;;;
BMW ;X5 XDRIVE45E;G;>100;2021; 524.921 ;X5;;;
VOLVO ;MPOLO PARADISO LD;D;>100;2018; 518.331 ;MPOLO;;;
VOLVO ;FH 460 6X2T;D;>100;2021; 515.849 ;FH;;;
VOLVO ;MPOLO PARADISO DD;D;>100;2020; 515.290 ;MPOLO;;;
VOLVO ;FH 540 6X2T;D;>100;2021; 511.078 ;FH;;;
AUDI ;R8 5.2 V10 SPYDER;G;>100;2014; 505.437 ;R8;;;
VOLVO ;FH 460 8X2T;D;>100;2021; 503.091 ;FH;;;
BMW ;X5 M50D;D;>100;2020; 501.150 ;X5;;;
VOLVO ;MPOLO PARADISO DD;D;>100;2019; 496.648 ;MPOLO;;;
BMW ;X7 XDRIVE50I;G;>100;2019; 496.292 ;X7;;;
VOLVO ;COMIL CAMPIONE DD;D;>100;2021; 492.415 ;COMIL;;;
BMW ;M340I XDRIVE;G;>100;2021; 488.225 ;M340I;;;
VOLVO ;FH 420 6X2T;D;>100;2021; 487.730 ;FH;;;
VOLVO ;COMIL CAMPIONE R;D;>100;2021; 486.742 ;COMIL;;;
VOLVO ;FH 460 4X2T;D;>100;2021; 484.743 ;FH;;;
BMW ;540I;G;>100;2021; 482.418 ;540I;;;
VOLVO ;BUSSCAR PANORAMI R;D;>100;2018; 482.129 ;BUSSCAR;;;
BMW ;X5 M50D;D;>100;2019; 481.736 ;X5;;;
AUDI ;RS6 AV 4.0TFSI P;G;>100;2018; 476.964 ;RS6;;;
VOLVO ;MPOLO PARADISO DD;D;>100;2018; 472.998 ;MPOLO;;;
BMW ;X6 M;G;>100;2018; 471.222 ;X6;;;
VOLVO ;MPOLO PARADISO R;D;>100;2021; 466.482 ;MPOLO;;;
JEEP ;WRANGLER UNL RUBI;G;>100;2021; 466.462 ;WRANGLER;;;
BMW ;X4 M40I;G;>100;2021; 465.370 ;X4;;;
BMW ;X3 M40I;G;>100;2021; 462.943 ;X3;;;
VOLVO ;MPOLO PARADISO LD;D;>100;2017; 462.796 ;MPOLO;;;
VOLVO ;BUSSCAR PANORAMI R;D;>100;2017; 461.863 ;BUSSCAR;;;
AUDI ;R8 5.2 V10 SPYDER;G;>100;2013; 461.679 ;R8;;;
BMW ;I8;G;>100;2015; 461.510 ;I8;;;
BMW ;M2 COMPETITION;G;>100;2021; 461.006 ;M2;;;
VOLVO ;XC90 D5 INSCRIPT;D;>100;2021; 460.662 ;XC90;;;
AUDI ;R8 5.2 V10 SPYDER;G;>100;2012; 458.458 ;R8;;;
AUDI ;A8 LM 435CV;G;>100;2017; 457.501 ;A8;;;
VOLVO ;XC90 T8 R DESIGN;G;>100;2021; 457.233 ;XC90;;;
BMW ;I8;G;>100;2014; 456.628 ;I8;;;
AUDI ;Q8 3.0 TFSI;G;>100;2020; 455.447 ;Q8;;;
AUDI ;Q8 3.0 TFSI;G;>100;2019; 455.294 ;Q8;;;
BMW ;Z4 M40I;G;>100;2021; 454.479 ;Z4;;;
CHEV ;CAMARO 2SS CONV;G;>100;2021; 451.125 ;CAMARO;;;
VOLVO ;FH 420 4X2T;D;>100;2021; 450.282 ;FH;;;
VOLVO ;XC90 T8 INSCRIPT;G;>100;2021; 449.705 ;XC90;;;
BMW ;X6 XDRIVE40I;G;>100;2020; 447.177 ;X6;;;
AUDI ;RS6 AV 4.0TFSI P;G;>100;2017; 444.222 ;RS6;;;
BMW ;745LE;G;>100;2020; 442.536 ;745LE;;;
VOLVO ;MPOLO PARADISO LD;D;>100;2016; 440.758 ;MPOLO;;;
NISSAN ;GT R PREMIUM;G;>100;2016; 439.551 ;GT;;;
AUDI ;R8 5.2 V10 FSI;G;>100;2013; 436.213 ;R8;;;
VOLVO ;FH 540 6X4T SUSP;D;>100;2020; 435.055 ;FH;;;
AUDI ;RS4 AV 2.9TFSI;G;>100;2019; 434.881 ;RS4;;;
VOLVO ;FH 540 6X4T;D;>100;2020; 433.037 ;FH;;;
VOLVO ;FH 540 6X4T;G;>100;2020; 433.037 ;FH;;;
VOLVO ;FH 460 6X4T;D;>100;2020; 431.670 ;FH;;;
